year,sex,cancer_type,cancer_cases,cancer_deaths,fatality_ratio
1991,females,Pancreatic cancer,712.0,666.0,0.935393
1991,females,Rectal cancer,1291.0,463.0,0.358637
1991,females,Stomach cancer,666.0,489.0,0.734234
1991,females,Thyroid cancer,407.0,33.0,0.081081
1991,females,Tongue cancer,118.0,56.0,0.474576
1991,females,Unknown primary site,1326.0,932.0,0.702866
1991,females,Uterine cancer,1172.0,251.0,0.214164
1991,males,Acute lymphoblastic leukaemia,146.0,68.0,0.465753
1991,males,Acute myeloid leukaemia,315.0,284.0,0.901587
1991,males,Anal cancer,35.0,12.0,0.342857
1991,males,Bladder cancer,1496.0,483.0,0.322861
1991,males,Bowel cancer,5162.0,2198.0,0.425804
1991,males,Brain cancer,598.0,502.0,0.839465
1991,males,Breast cancer,63.0,15.0,0.238095
1991,males,Chronic lymphocytic leukaemia,403.0,115.0,0.28536
1991,males,Chronic myeloid leukaemia,156.0,110.0,0.705128
1991,males,Colon cancer,3238.0,1566.0,0.483632
1991,males,Head and neck excluding lip,1622.0,717.0,0.442047
1991,males,Head and neck including lip,2363.0,730.0,0.308929
1991,males,Hodgkin lymphoma,173.0,47.0,0.271676
1991,males,Kidney cancer,878.0,390.0,0.444191
1991,males,Laryngeal cancer,507.0,218.0,0.42998
1991,males,Liver cancer,292.0,297.0,1.017123
1991,males,Lung cancer,5143.0,4519.0,0.87867
1991,males,Melanoma of the skin,3185.0,512.0,0.160754
1991,males,Myeloma,391.0,270.0,0.690537
1991,males,Non-Hodgkin lymphoma,1366.0,645.0,0.472182
1991,males,Oesophageal cancer,537.0,519.0,0.96648
1991,males,Pancreatic cancer,734.0,711.0,0.968665
1991,males,Prostate cancer,6753.0,2142.0,0.317192
1991,males,Rectal cancer,1924.0,632.0,0.328482
1991,males,Stomach cancer,1182.0,789.0,0.667513
1991,males,Testicular cancer,441.0,29.0,0.06576
1991,males,Thyroid cancer,164.0,26.0,0.158537
1991,males,Tongue cancer,242.0,115.0,0.475207
1991,males,Unknown primary site,1522.0,1061.0,0.697109
1991,persons,Acute lymphoblastic leukaemia,254.0,119.0,0.468504
1991,persons,Acute myeloid leukaemia,547.0,490.0,0.895795
1991,persons,Anal cancer,33.0,9.0,0.272727
1991,persons,Bladder cancer,1997.0,712.0,0.356535
1991,persons,Bowel cancer,9598.0,4162.0,0.433632
1991,persons,Brain cancer,1094.0,884.0,0.808044
1991,persons,Breast cancer,8095.0,2541.0,0.313897
1991,persons,Chronic lymphocytic leukaemia,669.0,201.0,0.300448
1991,persons,Chronic myeloid leukaemia,270.0,224.0,0.82963
1991,persons,Colon cancer,6383.0,3067.0,0.480495
1991,persons,Head and neck excluding lip,2180.0,967.0,0.443578
1991,persons,Head and neck including lip,3144.0,983.0,0.312659
1991,persons,Hodgkin lymphoma,314.0,85.0,0.270701
1991,persons,Kidney cancer,1384.0,702.0,0.507225
1991,persons,Laryngeal cancer,579.0,256.0,0.442142
1991,persons,Liver cancer,391.0,431.0,1.102302
1991,persons,Lung cancer,7158.0,6249.0,0.873009
1991,persons,Melanoma of the skin,5960.0,804.0,0.134899
1991,persons,Myeloma,718.0,506.0,0.704735
1991,persons,Non-Hodgkin lymphoma,2490.0,1207.0,0.484739
1991,persons,Oesophageal cancer,847.0,796.0,0.939787
1991,persons,Pancreatic cancer,1446.0,1377.0,0.952282
1991,persons,Rectal cancer,3215.0,1095.0,0.340591
1991,persons,Stomach cancer,1848.0,1278.0,0.691558
1991,persons,Thyroid cancer,571.0,59.0,0.103327
1991,persons,Tongue cancer,360.0,171.0,0.475
1991,persons,Unknown primary site,2848.0,1993.0,0.699789
1992,females,Acute lymphoblastic leukaemia,128.0,65.0,0.507812
1992,females,Acute myeloid leukaemia,264.0,239.0,0.905303
1992,females,Anal cancer,40.0,13.0,0.325
1992,females,Bladder cancer,482.0,225.0,0.466805
1992,females,Bowel cancer,4548.0,1949.0,0.42854
1992,females,Brain cancer,490.0,416.0,0.84898
1992,females,Breast cancer,8008.0,2429.0,0.303322
