facility_name,address,suburb,postcode,state,latitude,longitude,coord_source,duplicate_count,source_file,source_provenance,ewaste_match_flag,ewaste_match_text,ewaste_match_column,review_flag,dedupe_key,original_latitude,original_longitude,original_coord_source,maptiler_query,maptiler_place_name,maptiler_match_score,maptiler_feature_id
HARVEY NORMAN,186-196 DRAPER STREET,PORTSMITH,4870,QLD,-16.952253269620638,145.77124853517637,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|4870,-16.88,145.75,postcode_fallback,"186-196 DRAPER STREET, PORTSMITH, QLD, 4870, Australia","Tingria Street, Portsmith, Queensland 4870, Australia",25,address.18749741
THE GOOD GUYS,957 SOUTH ROAD,MELROSE PARK,5039,SA,-34.98526546104106,138.57869748026133,maptiler_other,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,the good guys|5039,-34.97,138.58,postcode_fallback,"THE GOOD GUYS, 957 SOUTH ROAD, MELROSE PARK, SA, 5039, Australia","Melrose Park, South Australia, Australia",11,municipality.154217
KELSEY CREEK LANDFILL,139 KELSEY CREEK ROAD,PROSERPINE,4800,QLD,-20.412999005622254,148.66852618855933,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,kelsey creek landfill|4800,-20.58,148.42,postcode_fallback,"139 KELSEY CREEK ROAD, PROSERPINE, QLD, 4800, Australia","Orchid Creek Road, Preston, Queensland 4800, Australia",18,address.2516778
SUEZ EASTERN CREEK TRANSFER STATION,WALLGROVE ROAD,EASTERN CREEK,2766,NSW,-33.81531799887171,150.8362518714083,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,suez eastern creek transfer station|2766,-33.8,150.85,postcode_fallback,"SUEZ EASTERN CREEK TRANSFER STATION, WALLGROVE ROAD, EASTERN CREEK, NSW, 2766, Australia","Old Wallgrove Road, Eastern Creek, New South Wales 2766, Australia",41,address.2540106
AWABA WASTE MANAGEMENT FACILITY,367 WILTON ROAD,AWABA,2283,NSW,-33.02010096082273,151.54807234954865,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,awaba waste management facility|2283,-33.06,151.58,postcode_fallback,"367 WILTON ROAD, AWABA, NSW, 2283, Australia","Wilton Road, Awaba, Newcastle-Maitland New South Wales, Australia",17,address.14544056
KATANNING SHIRE REFUSE SITE,KATANNING NYABING ROAD AND DEPOT ROAD,KATANNING,6317,WA,-33.63923189691751,117.86339266750338,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,katanning shire refuse site|6317,-33.63,117.9,postcode_fallback,"KATANNING SHIRE REFUSE SITE, KATANNING NYABING ROAD AND DEPOT ROAD, KATANNING, WA, 6317, Australia","Katanning - Nyabing Road, Coyrecup, Western Australia 6317, Australia",25,address.9348602
MOREE WASTE MANAGEMENT FACILITY,57 EVERGREEN ROAD,MOREE,2400,NSW,-29.461720195458323,149.84071511775255,maptiler_other,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,moree waste management facility|2400,-29.32,149.81,postcode_fallback,"MOREE WASTE MANAGEMENT FACILITY, 57 EVERGREEN ROAD, MOREE, NSW, 2400, Australia","Moree, New South Wales, Australia",11,municipality.130805
OFFICEWORKS,96-98 TAREN POINT ROAD,TAREN POINT,2229,NSW,-34.019691,151.12240299999996,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2229,-34.04,151.12,postcode_fallback,"OFFICEWORKS, 96-98 TAREN POINT ROAD, TAREN POINT, NSW, 2229, Australia","96-98 Taren Point Road, Taren Point, New South Wales 2229, Australia",41,address.6604885
HARVEY NORMAN CITY CROSS,"SHOP 1, 31-33 RUNDLE MALL",ADELAIDE,5000,SA,-34.928495939210784,138.60074459275495,maptiler_other,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman city cross|5000,-34.93,138.6,postcode_fallback,"SHOP 1, 31-33 RUNDLE MALL, ADELAIDE, SA, 5000, Australia","Adelaide, South Australia, Australia",11,municipality.100953
EXETER TRANSFER STATION,16 BILOO STREET,EXETER,7275,TAS,-41.301593966268854,146.94975632148999,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,exeter transfer station|7275,-41.31,146.97,postcode_fallback,"EXETER TRANSFER STATION, 16 BILOO STREET, EXETER, TAS, 7275, Australia","Biloo Street, Exeter, Tasmania 7275, Australia",29,address.6503749
OFFICEWORKS PROSPECT,87-93 MAIN NORTH ROAD,NAILSWORTH,5083,SA,-34.88929,138.60353599999996,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks prospect|5083,-34.87,138.61,postcode_fallback,"OFFICEWORKS PROSPECT, 87-93 MAIN NORTH ROAD, NAILSWORTH, SA, 5083, Australia","87-93 Main North Road, Nailsworth, South Australia 5083, Australia",41,address.14829842
HARVEY NORMAN,LOT 2005 MAIN NORTH ROAD,SMITHFIELD,5114,SA,-34.75772208491708,138.66104259883684,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|5114,-34.67,138.67,postcode_fallback,"LOT 2005 MAIN NORTH ROAD, SMITHFIELD, SA, 5114, Australia","Main North Road, Salisbury Park, South Australia 5112, Australia",14,address.14829842
OFFICEWORKS,13-15 WATER STREET,CAIRNS CITY,4870,QLD,-16.920945128203478,145.76831297175113,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|4870,-16.88,145.75,postcode_fallback,"OFFICEWORKS, 13-15 WATER STREET, CAIRNS CITY, QLD, 4870, Australia","Water Street, Cairns City, Queensland 4870, Australia",25,address.9951970
OFFICEWORKS,UNIT 3 51 ROBERTS ROAD,GREENACRE,2190,NSW,-33.899893,151.06637899999998,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2190,-33.89,151.06,postcode_fallback,"OFFICEWORKS, UNIT 3 51 ROBERTS ROAD, GREENACRE, NSW, 2190, Australia","51 Roberts Road, Greenacre, New South Wales 2190, Australia",25,address.7040777
VICTORIA ST WASTE MANAGEMENT FACILITY,VICTORIA STREET,YOUNG,2594,NSW,-34.321312268053255,148.3091016178746,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,victoria st waste management facility|2594,-34.43,148.07,postcode_fallback,"VICTORIA STREET, YOUNG, NSW, 2594, Australia","Victoria Street, Young, New South Wales, Australia",33,address.99225
KATHERINE WASTE MANAGEMENT FACILITY,LOT 5043 NOVIS QUARRY ROAD,COSSACK,0850,NT,-14.508970004308027,132.2379469311952,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,katherine waste management facility|0850,-14.46,132.26,postcode_fallback,"KATHERINE WASTE MANAGEMENT FACILITY, LOT 5043 NOVIS QUARRY ROAD, COSSACK, NT, 0850, Australia","Novis Quarry Road, Cossack, Northern Territory, Australia",17,address.10869350
OFFICEWORKS,108-114 GEORGE STREET,HORNSBY,2077,NSW,-33.700445,151.10021600000005,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2077,-33.69,151.11,postcode_fallback,"OFFICEWORKS, 108-114 GEORGE STREET, HORNSBY, NSW, 2077, Australia","108-114 Pacific Highway, Hornsby, New South Wales 2077, Australia",25,address.7292210
HARVEY NORMAN,SHOP 11 1 TURA BEACH DRIVE,TURA BEACH,2548,NSW,-36.86280558994976,149.92447346448898,maptiler_other,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|2548,-36.88,149.92,postcode_fallback,"SHOP 11 1 TURA BEACH DRIVE, TURA BEACH, NSW, 2548, Australia","Tura Beach, New South Wales, Australia",11,municipality.132957
OFFICEWORKS ELIZABETH,1 PHILLIP HWY,ELIZABETH,5112,SA,-34.71760299014862,138.6681060770769,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks elizabeth|5112,-34.71,138.67,postcode_fallback,"OFFICEWORKS ELIZABETH, 1 PHILLIP HWY, ELIZABETH, SA, 5112, Australia","Elizabeth Way, Elizabeth, South Australia 5112, Australia",25,address.4222419
DAVIS ROAD RECYCLING AND WASTE MANAGEMENT FACILITY,DAVIS ROAD,FOREST GROVE,6286,WA,-34.03029645825316,115.14799491098609,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,davis road recycling and waste management facility|6286,-34.13,115.05,postcode_fallback,"DAVIS ROAD, FOREST GROVE, WA, 6286, Australia","Davis Road, Witchcliffe, Western Australia 6286, Australia",34,address.6270563
CAMPBELLTOWN CITY COUNCIL,172 MONTACUTE ROAD,ROSTREVOR,5073,SA,-34.888885,138.67724799999996,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,campbelltown city council|5073,-34.89,138.66,postcode_fallback,"CAMPBELLTOWN CITY COUNCIL, 172 MONTACUTE ROAD, ROSTREVOR, SA, 5073, Australia","172 Montacute Road, Rostrevor, South Australia 5073, Australia",41,address.13194996
RETRAVISION HARVEY,80 UDUC ROAD,HARVEY,6220,WA,-33.079461709788966,115.89985130354762,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,retravision harvey|6220,-33.0,115.89,postcode_fallback,"RETRAVISION HARVEY, 80 UDUC ROAD, HARVEY, WA, 6220, Australia","Harvey Street, Harvey, Western Australia 6220, Australia",25,address.7272962
MRI E-CYCLE SOLUTIONS (AUST) PTY LTD,UNIT 3 14 ALDERSON PLACE,HUME,2620,ACT,-35.40119787414677,149.1600805940659,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE RECYCLING FACILITY,facility_infrastructure_type,,mri e cycle solutions aust pty ltd|2620,-35.58,149.23,postcode_fallback,"UNIT 3 14 ALDERSON PLACE, HUME, ACT, 2620, Australia","Alderson Place, Hume, Tuggeranong Australian Capital Territory 2620, Australia",25,address.7715767
BELROSE RESOURCE RECOVERY CENTRE,CROZIER ROAD,BELROSE,2085,NSW,-33.715840520469186,151.21465719837704,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,belrose resource recovery centre|2085,-33.74,151.21,postcode_fallback,"BELROSE RESOURCE RECOVERY CENTRE, CROZIER ROAD, BELROSE, NSW, 2085, Australia","Crozier Road, Belrose, New South Wales 2085, Australia",41,address.1036146
HARVEY NORMAN,853-867 PORT ROAD,WOODVILLE,5011,SA,-34.878348637178725,138.54131411406684,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|5011,-34.88,138.54,postcode_fallback,"HARVEY NORMAN, 853-867 PORT ROAD, WOODVILLE, SA, 5011, Australia","Harvey Street West, Woodville, South Australia 5011, Australia",25,address.5010076
BETTA ELECTRICAL,16 HILL STREET,EMU PARK,4710,QLD,-23.25721192043539,150.82640806648192,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,betta electrical|4710,-23.26,150.83,postcode_fallback,"BETTA ELECTRICAL, 16 HILL STREET, EMU PARK, QLD, 4710, Australia","Hill Street, Emu Park, Queensland 4710, Australia",25,address.11094210
COOLAMON COMMUNITY RECYCLING CENTRE,102 DYCES LANE,COOLAMON,2701,NSW,-34.7334092105843,147.2737383147853,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,coolamon community recycling centre|2701,-34.82,147.2,postcode_fallback,"COOLAMON COMMUNITY RECYCLING CENTRE, 102 DYCES LANE, COOLAMON, NSW, 2701, Australia","Bradshaws Lane, Berry Jerry, New South Wales 2701, Australia",18,address.10154927
TES-AMM NSW,1 MARPLE AVENUE,VILLAWOOD,2163,NSW,-33.884129257099445,150.98241087258452,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE RECYCLING FACILITY,facility_infrastructure_type,,tes amm nsw|2163,-33.88,150.96,postcode_fallback,"TES-AMM NSW, 1 MARPLE AVENUE, VILLAWOOD, NSW, 2163, Australia","Marple Avenue, Villawood, New South Wales 2163, Australia",25,address.11354680
DARRENS RUBBISH REMOVAL,1 IRVINE STREET,TENNANT CREEK,0860,NT,-19.643539164786137,134.1870149933078,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,darrens rubbish removal|0860,-19.65,134.19,postcode_fallback,"DARRENS RUBBISH REMOVAL, 1 IRVINE STREET, TENNANT CREEK, NT, 0860, Australia","Irvine Street, Tennant Creek, Northern Territory 0860, Australia",29,address.12731671
MOSS VALE RESOURCE RECOVERY CENTRE,177 BERRIMA ROAD,MOSS VALE,2577,NSW,-34.5573202371852,150.3839357137149,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,moss vale resource recovery centre|2577,-34.61,150.48,postcode_fallback,"177 BERRIMA ROAD, MOSS VALE, NSW, 2577, Australia","Hill Road, Moss Vale, New South Wales 2577, Australia",25,address.5638817
OFFICEWORKS,1183-1187 THE HORSLEY DRIVE,WETHERILL PARK,2164,NSW,-33.850662,150.89696100000003,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2164,-33.85,150.94,postcode_fallback,"OFFICEWORKS, 1183-1187 THE HORSLEY DRIVE, WETHERILL PARK, NSW, 2164, Australia","1183-1187 The Horsley Drive, Wetherill Park, New South Wales 2164, Australia",41,address.4135294
OFFICEWORKS,UNIT 6 8 MAGENTA TERRACE,MANDURAH,6210,WA,-32.42492614755933,115.76364414682575,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|6210,-32.55,115.75,postcode_fallback,"OFFICEWORKS, MANDURAH, WA, Australia","Mandurah Road, Golden Bay, Western Australia 6174, Australia",17,address.6731520
HARVEY NORMAN,SHOP 1 29-41 GREENWAY DRIVE,TWEED HEADS SOUTH,2486,NSW,-28.206228691744485,153.53610789212848,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|2486,-28.21,153.54,postcode_fallback,"SHOP 1 29-41 GREENWAY DRIVE, TWEED HEADS SOUTH, NSW, 2486, Australia","Greenway Drive, Tweed Heads South, New South Wales 2486, Australia",25,address.15758222
COLLINSVILLE TRANSFER STATION,155 SCOTTSVILLE ROAD,SCOTTVILLE,4804,QLD,-20.583747877881216,147.8182453058813,maptiler_other,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,collinsville transfer station|4804,-20.55,147.85,postcode_fallback,"COLLINSVILLE TRANSFER STATION, 155 SCOTTSVILLE ROAD, SCOTTVILLE, QLD, 4804, Australia","Scottville, Queensland, Australia",11,municipality.173773
LAUNCESTON RECYCLING CENTRE,19 CAVALRY ROAD,MOWBRAY,7248,TAS,-41.41661082843829,147.1345746401979,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,launceston recycling centre|7248,-41.42,147.13,postcode_fallback,"LAUNCESTON RECYCLING CENTRE, 19 CAVALRY ROAD, MOWBRAY, TAS, 7248, Australia","Invermay Road, Invermay, Tasmania 7248, Australia",22,address.11996349
THE GOOD GUYS,152-158 TAREN POINT ROAD,CARINGBAH,2229,NSW,-34.024027,151.12163699999996,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,the good guys|2229,-34.04,151.12,postcode_fallback,"THE GOOD GUYS, 152-158 TAREN POINT ROAD, CARINGBAH, NSW, 2229, Australia","152-158 Taren Point Road, Caringbah, New South Wales 2229, Australia",41,address.6604885
OFFICEWORKS,66 DALTON DRIVE,MAROOCHYDORE,4558,QLD,-26.666069,153.08547599999997,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|4558,-26.66,153.1,postcode_fallback,"OFFICEWORKS, 66 DALTON DRIVE, MAROOCHYDORE, QLD, 4558, Australia","66 Dalton Drive, Maroochydore, Queensland 4558, Australia",41,address.1080373
WYLIE BAY WASTE AND RECYCLING,WYLIE BAY ROAD,BANDY CREEK,6450,WA,-33.83013675383031,121.96180392227825,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,wylie bay waste and recycling|6450,-33.82,121.94,postcode_fallback,"WYLIE BAY ROAD, BANDY CREEK, WA, 6450, Australia","Wylie Bay Road, Bandy Creek, Western Australia 6450, Australia",41,address.4571162
GLEN OSMOND RECYCLING CENTRE,389 GLEN OSMOND ROAD,GLEN OSMOND,5064,SA,-34.961455,138.64285599999994,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,glen osmond recycling centre|5064,-34.96,138.64,postcode_fallback,"389 GLEN OSMOND ROAD, GLEN OSMOND, SA, 5064, Australia","389 Glen Osmond Road, Glen Osmond, South Australia 5064, Australia",41,address.7616776
OFFICEWORKS,250 MOLESWORTH STREET,LISMORE,2480,NSW,-28.808855567806113,153.27587575298492,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2480,-28.61,153.04,postcode_fallback,"OFFICEWORKS, 250 MOLESWORTH STREET, LISMORE, NSW, 2480, Australia","Molesworth Street, Lismore, New South Wales 2480, Australia",25,address.11583251
BOWEN LANDFILL,908 BOWEN DEVELOPMENT ROAD,BOWEN,4805,QLD,-27.448158760753238,153.0293034731535,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,bowen landfill|4805,-20.38,147.89,postcode_fallback,"BOWEN LANDFILL, BOWEN, QLD, Australia","Bowen Bridge Road, Bowen Hills, Queensland 4006, Australia",17,address.13199785
SOUTH HEDLAND LANDFILL,NORTH CIRCULAR ROAD,SOUTH HEDLAND,6722,WA,-20.395766917604416,118.59731788171462,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,south hedland landfill|6722,-20.4,118.57,postcode_fallback,"NORTH CIRCULAR ROAD, SOUTH HEDLAND, WA, 6722, Australia","North Circular Road, South Hedland, Western Australia 6722, Australia",41,address.12890056
EMERALD TRANSFER STATION,GLASSON STREET,EMERALD,4720,QLD,-23.522315767903937,148.14678763970733,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,emerald transfer station|4720,-23.53,148.16,postcode_fallback,"EMERALD TRANSFER STATION, GLASSON STREET, EMERALD, QLD, 4720, Australia","Glasson Street, Emerald, Queensland 4720, Australia",41,address.14102064
OFFICEWORKS,UNIT 1 85-91 O'RIORDAN STREET,ALEXANDRIA,2015,NSW,-33.9091566685343,151.19212802499533,maptiler_other,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2015,-33.9,151.2,postcode_fallback,"OFFICEWORKS, UNIT 1 85-91 O'RIORDAN STREET, ALEXANDRIA, NSW, 2015, Australia","Alexandria, New South Wales, Australia",11,municipality.97205
HARVEY NORMAN,326 BOOROWA STREET,YOUNG,2594,NSW,-34.31305272337324,148.29634974752253,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|2594,-34.43,148.07,postcode_fallback,"326 BOOROWA STREET, YOUNG, NSW, 2594, Australia","Boorowa Street, Young, New South Wales 2594, Australia",25,address.15814870
DELORAINE WASTE DISPOSAL SITE,54 TIP ROAD,DELORAINE,7304,TAS,-41.39759174143029,146.58555935223922,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,deloraine waste disposal site|7304,-41.82,146.68,postcode_fallback,"54 TIP ROAD, DELORAINE, TAS, 7304, Australia","Avenue Road, Parkham, Tasmania 7304, Australia",22,address.13113667
HARVEY NORMAN (CITY CROSS WAREHOUSE),5-19 WILLIAM STREET,MILE END SOUTH,5031,SA,-34.933888455507244,138.5715196722383,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman city cross warehouse|5031,-34.93,138.56,postcode_fallback,"5-19 WILLIAM STREET, MILE END SOUTH, SA, 5031, Australia","William Street, Mile End South, South Australia 5031, Australia",25,address.14895646
HARVEY NORMAN,161-177 MURRAY STREET,HOBART,7000,TAS,-42.880450279518065,147.32201428968312,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|7000,-42.87,147.33,postcode_fallback,"HARVEY NORMAN, 161-177 MURRAY STREET, HOBART, TAS, 7000, Australia","Murray Street, Hobart, Tasmania 7000, Australia",29,address.12811925
JACKSON STREET WASTE MANAGEMENT CENTRE,JACKSON STREET,GLENORCHY,7010,TAS,-42.84134651025215,147.25751214783622,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,jackson street waste management centre|7010,-42.82,147.3,postcode_fallback,"JACKSON STREET, GLENORCHY, TAS, 7010, Australia","Jackson Street, Glenorchy, Tasmania 7010, Australia",45,address.787467
HBB ELECTRICAL,37 ELDERSLIE STREET,WINTON,4735,QLD,-22.390066402294988,143.03805605591242,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,hbb electrical|4735,-23.76,141.14,postcode_fallback,"37 ELDERSLIE STREET, WINTON, QLD, 4735, Australia","Elderslie Street, Winton, Queensland 4735, Australia",25,address.6107767
OFFICEWORKS,1618 CANTERBURY ROAD,PUNCHBOWL,2196,NSW,-33.934742,151.03972799999997,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2196,-33.93,151.05,postcode_fallback,"OFFICEWORKS, 1618 CANTERBURY ROAD, PUNCHBOWL, NSW, 2196, Australia","1618 Canterbury Road, Punchbowl, New South Wales 2196, Australia",41,address.772546
OFFICEWORKS,UNIT 1 927-933 VICTORIA ROAD,WEST RYDE,2114,NSW,-33.814735866515754,151.08569528293003,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2114,-33.8,151.08,postcode_fallback,"OFFICEWORKS, WEST RYDE, NSW, Australia","Constitution Road West, West Ryde, New South Wales 2114, Australia",25,address.11387518
BEVERLEY WASTE MANAGEMENT CENTRE,2-6 TOOGOOD AVE,BEVERLEY,5009,SA,-34.898826225158174,138.5443497064283,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,beverley waste management centre|5009,-34.9,138.56,postcode_fallback,"2-6 TOOGOOD AVE, BEVERLEY, SA, 5009, Australia","Toogood Avenue, Beverley, South Australia 5009, Australia",25,address.1621548
THE GOOD GUYS,UNIT 17 19 STODDART ROAD,PROSPECT,2148,NSW,-33.80059,150.920029,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,the good guys|2148,-33.79,150.87,postcode_fallback,"THE GOOD GUYS, UNIT 17 19 STODDART ROAD, PROSPECT, NSW, 2148, Australia","19 Stoddart Road, Prospect, New South Wales 2148, Australia",25,address.13213009
HARVEY NORMAN,176-180 CONDAMINE STREET,BALGOWLAH,2093,NSW,-33.789061,151.26676399999997,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|2093,-33.79,151.26,postcode_fallback,"176-180 CONDAMINE STREET, BALGOWLAH, NSW, 2093, Australia","176-190 Condamine Street, Balgowlah, New South Wales 2093, Australia",25,address.5613011
OFFICEWORKS,163-181 NEW CANTERBURY ROAD,LEWISHAM,2049,NSW,-33.896622,151.14876700000002,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2049,-33.89,151.14,postcode_fallback,"OFFICEWORKS, 163-181 NEW CANTERBURY ROAD, LEWISHAM, NSW, 2049, Australia","163-181 New Canterbury Road, Lewisham, New South Wales 2049, Australia",41,address.4724614
LOCKHART SHIRE COUNCIL WASTE DEPOT,40 TIP ROAD,LOCKHART,2656,NSW,-35.226495086612545,146.68813419825278,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,lockhart shire council waste depot|2656,-35.12,147.0,postcode_fallback,"LOCKHART SHIRE COUNCIL WASTE DEPOT, 40 TIP ROAD, LOCKHART, NSW, 2656, Australia","Tip Road, Lockhart, New South Wales, Australia",17,address.1821757
HARVEY NORMAN,38 CHAPMAN ROAD,GERALDTON,6530,WA,-28.727296202593948,114.62079217575592,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|6530,-28.79,114.6,postcode_fallback,"38 CHAPMAN ROAD, GERALDTON, WA, 6530, Australia","Chapman Road, Bluff Point, Western Australia 6530, Australia",18,address.3645419
E-CYCLE RECOVERY,12-14 BAULDERSTONE ROAD,GEPPS CROSS,5094,SA,-34.84625720156576,138.58871210630218,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE RECYCLING FACILITY,facility_infrastructure_type,,e cycle recovery|5094,-34.83,138.6,postcode_fallback,"E-CYCLE RECOVERY, 12-14 BAULDERSTONE ROAD, GEPPS CROSS, SA, 5094, Australia","Baulderstone Road, Gepps Cross, South Australia 5094, Australia",25,address.1654439
HARVEY NORMAN,125 PRINCE STREET,GRAFTON,2460,NSW,-29.68491530949615,152.93858765131824,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|2460,-29.05,152.59,postcode_fallback,"125 PRINCE STREET, GRAFTON, NSW, 2460, Australia","Prince Street, Grafton, New South Wales 2460, Australia",25,address.10657743
